onet_soc_code,rank,soc_code,occupation_title,occupation_description,cosine_similarity,interest_score,skill_score,education_score,job_zone_score,labor_market_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,why
15-2051.01,1,15-2051,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,0.8950537696379198,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1252.00,2,15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",0.8950436617833635,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1243.01,3,15-1243,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",0.8897988327100471,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
15-2051.02,4,15-2051,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.8897400555229734,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
13-2099.01,5,13-2099,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",0.8894983661961385,0.9836898933719765,0.4608848831907683,0.0,0.0,0.6794942313209111,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.98); Skills (Mathematics, 0.46)."
15-1243.00,6,15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",0.8875905892684681,0.9731805024357021,0.45624297570643657,1.0,1.0,0.7627195032100356,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
15-1251.00,7,15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",0.8840620671259654,0.9450175814901981,0.49898101603289385,1.0,1.0,0.7094074773923607,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
15-1212.00,8,15-1212,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",0.8833725678860469,0.9537384975150882,0.3821900129753109,1.0,1.0,0.847589703697576,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
33-3021.06,9,33-3021,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",0.8820242424542415,0.9939533112194125,0.353528725632389,1.0,1.0,0.7076618043249734,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.99); Education fit (1.00)."
15-2031.00,10,15-2031,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",0.8810741178596074,0.9898901179965034,0.45495379421226556,0.0,0.0,0.6853901411196592,Data and Technology,0.3,0.3,0.15,0.1,0.15,cosine,"Strongest fit: Interests (Investigative interest, 0.99); Skills (Mathematics, 0.45)."
